State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Odisha,BARGARH,2011,Autumn,Moong(Green Gram),15118.0,3703.9,0.2449993385368435
Odisha,BARGARH,2011,Autumn,Rice,53000.0,41000.0,0.7735849056603774
Odisha,BARGARH,2011,Autumn,Sesamum,4.0,1.3,0.325
Odisha,BARGARH,2011,Autumn,Urad,7826.0,2042.6,0.26100178890876563
Odisha,BARGARH,2011,Summer,Groundnut,893.0,1182.3,1.3239641657334826
Odisha,BARGARH,2011,Summer,Maize,17.0,21.9,1.288235294117647
Odisha,BARGARH,2011,Summer,Moong(Green Gram),920.0,329.4,0.3580434782608695
Odisha,BARGARH,2011,Summer,Rice,71000.0,266000.0,3.7464788732394365
Odisha,BARGARH,2011,Summer,Sesamum,93.0,32.7,0.35161290322580646
Odisha,BARGARH,2011,Summer,Urad,19.0,6.8,0.35789473684210527
Odisha,BARGARH,2011,Summer,Wheat,76.0,122.4,1.6105263157894738
Odisha,BARGARH,2011,Winter,Horse-gram,876.0,266.3,0.30399543378995436
Odisha,BARGARH,2011,Winter,Moong(Green Gram),18.0,5.6,0.3111111111111111
Odisha,BARGARH,2011,Winter,Potato,313.0,2682.7,8.570926517571884
Odisha,BARGARH,2011,Winter,Rapeseed &Mustard,648.0,192.5,0.2970679012345679
Odisha,BARGARH,2011,Winter,Rice,182000.0,342000.0,1.879120879120879
Odisha,BARGARH,2011,Winter,Sesamum,963.0,157.9,0.16396677050882658
Odisha,BARGARH,2011,Winter,Sugarcane,854.0,63879.2,74.8
Odisha,BARGARH,2012,Autumn,Groundnut,11581.0,12194.8,1.053000604438304
Odisha,BARGARH,2012,Autumn,Maize,111.0,155.7,1.4027027027027026
Odisha,BARGARH,2012,Autumn,Moong(Green Gram),11841.0,3173.4,0.26800101342791993
Odisha,BARGARH,2012,Autumn,Ragi,1.0,0.6,0.6
Odisha,BARGARH,2012,Autumn,Rice,52000.0,105000.0,2.019230769230769
Odisha,BARGARH,2012,Autumn,Sesamum,8.0,2.0,0.25
Odisha,BARGARH,2012,Autumn,Urad,7034.0,2103.2,0.2990048336650554
Odisha,BARGARH,2012,Summer,Groundnut,2095.0,3058.7,1.46
Odisha,BARGARH,2012,Summer,Maize,13.0,24.3,1.8692307692307693
Odisha,BARGARH,2012,Summer,Moong(Green Gram),869.0,329.4,0.37905638665132335
Odisha,BARGARH,2012,Summer,Rice,687000.0,265000.0,0.38573508005822416
Odisha,BARGARH,2012,Summer,Sesamum,64.0,25.5,0.3984375
Odisha,BARGARH,2012,Summer,Urad,31.0,11.3,0.3645161290322581
Odisha,BARGARH,2012,Summer,Wheat,15.0,23.6,1.5733333333333335
Odisha,BARGARH,2012,Winter,Horse-gram,1232.0,412.7,0.33498376623376624
Odisha,BARGARH,2012,Winter,Maize,2.0,4.7,2.35
Odisha,BARGARH,2012,Winter,Moong(Green Gram),52.0,19.7,0.37884615384615383
Odisha,BARGARH,2012,Winter,Potato,291.0,2888.2,9.92508591065292
Odisha,BARGARH,2012,Winter,Rapeseed &Mustard,799.0,275.7,0.3450563204005006
Odisha,BARGARH,2012,Winter,Rice,181000.0,582000.0,3.2154696132596685
